,Acnistus.arborescens,Ficus.tuerckheimii,Hampea.appendiculata,Sapium.oligoneuron,Citharexylum.integerrimum,Ocotea.tonduzii,Trema.micrantha,Hasseltia.floribunda,Concostegia.bernouliana,Urera.elata,Oreopanax.oerstedianum,Xylosma.chloranthum,Ardisia.palmana,Rapanea.myricoides,Solanum.cordovense,Citharexylum.macradenium,Phoebe.mexicana,Cecropia.obtusifolia,Nectandra.gentlei,Phoebe.neurophylla,Ficus.pertusa,Viburnum.costraricanum,Nectandra.davidsoniana,Symplocarpon.brenesii,Symplocos.limoncillo,Columbrina.celtififolia,Guettarda.poasana,Rubus.rosaefolia,Miconia.sp..A,Matayba.apetala,Dendropanax.sp..FL,Didymopanax.pittieri,Witheringia.solanacea,Beilschmiedia.costaricensis,Nectandra.hypoglauca,Nectandra.salicina,Ocotea.austinii,Ocotea.wachenheimii,Ocotea.sp..RP,Phytolacca.rivinoides,Clusia.alata,Xylosma.flexuosa,Xylosma.intermedium,Daphnopsis.americana,Ossaea.micrantha,Ilex.lamprophylla,Lycianthes.multiflora,Guatteria.consanguinea,Beilschmiedia.sp..BC,Ocotea.bernouliana,Ocotea.sp..FL.,Ocotea.sp..K2,Meliosma.idiopoda,Marcgravia.brownei,Concostegia.puberrula,Celastraceae_sp..A,Perrotettia.longistylis,Cupania.glabra,Guarea.glabra,Guarea.tonduzii,Zanthoxylum.culantrillo,Dendropanax.arboreus,Oreopanax.xalapensis,Besleria.sp..A,Gonzalagunia.rosea,Clibadium.sp..A,Ocotea.klotzschtana,Bocconia.frutescens,Malvaviscus.arboreus,Cavendishia.complectans,Blakea.grasilis,Ossaea.sp..A,Cestrum.megalophyllum,Lycianthes.synanthera,Solanum.umbellatum,Witheringia.coccoloboides,Cepahaelis.elata,Chione.costaricensis,Coussarea.austin.smithii,Epiphyte,Nectandra.sp..NC,Nectandra.sp..NG,Persea.RS,Piper.auritum,Neea.amplifolia,Cavendishia.sp..A.,Dipholis.parvifolia,Ardisia.compressa,Prunus.anularis,Prunus.sp..A.,Linociera.dominguensis,Guarea.tuisiana,Mappia.racemosa,Dendropanax.gonatopodus,Stemmadenia.glabra,Cestrum.racemosum,Solanum.nudum,Tournefortia.glabra,Besleria.triflora,Drymonia.conchocalyx,Hamelia.patens,Psychotria.acuminata,Psychotria.parasitica,Psychotria.sp..LP,Chamaedorea.sp..A,Anthurium.sp..A,Siparuna.sp.,Beilschmiedia.sp..BL,Persea.veraguensis,Persea.FL,Piper.sp..A.,Trophis.mexicana,Phytolacca.sp..A.,Torrubia.costaricana,Casearia.sylvestris,Cucurbitaceae_sp..A,Cavendishia.melastomoides,Cavendishia.capitulata,Satyria.sp..A.,Symplocos.sp..A.,Symplocos.sp..B,Prunus.cornifolia,Eugenia.sp..A.,Eugenia.sp..B.,Melastomataceae_sp..SC,Concostegiaspeciosa,Concostegia.xalapensis,Melastomataceae_sp..CT,Melastomataceae_sp..NC,Gaiadendron.punctatum,Loranthaceae_sp..A,Loranthaceae_sp..B,Maytenus.sp..A,Hieronyma.guatemalensis,Vitaceae_sp..A,Erythroxylon.amplum,Bunchosia.pilosa,Bunchosia.sp..A,Paullinia.sp..A,Picramnia.carpinterae,Mappia.sp..A,Dendropanax.querceti,Schefflera.robusta,Oreopanax.sp...KGM.82.90.2.,Tabernaemontana.sp..A,Cestrum.sp..A,Solanum.hispidum,Witheringia.maculata,Witheringia.sp..A,Liana.sp..A,Alloplectus.tetragonus,Besleria.formosa,Drymonia.rubra,Coussarea.sp..A,Faramea.quercetorum,Hoffmannia.sp..A,Hoffmannia.sp..RL,Hoffmannia.sp..RF,Palicourea.galeottiana,Palicourea.sp..YY,Psychotria.sp..BO,Psychotria.sp..WB,Clibadium.sp..B,Anthurium.sp..B,Anthurium.sp..C,Campelia.zanonia,Lasiacis.sp..A,Smilax.sp..A,Burmeistera.sp..A
Phainoptila_melanoxantha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dacnis_venusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophonia_callophrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphonia_hirundinacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangara_icterocephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangara_dowii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thraupis_episcopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piranga_rubra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorospingus_ophthalmicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pheucticus_ludovicianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melozone_leucotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlapetes_albinucha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
